,Without RaaS,With RaaS,Time Difference,Slowdown,DOI
0,67.16328212153167,51.02356556701125,-16.13971655452042,0.8,doi:10.7910/DVN/NZFAXI
3,644.8446866162121,349.2274999670044,-295.6171866492077,0.5,doi:10.7910/DVN/XRZW4O
35,239.69788225367665,58.53977492300328,-181.15810733067337,0.2,doi:10.7910/DVN/H13U6G
37,404.2251875326037,297.0626506409608,-107.1625368916429,0.7,doi:10.7910/DVN/DAPJMB
